1, none, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
61, none, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
62, none, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
63, none, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
64, none, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
65, none, minecraft:snowy_plains, MONSTER, minecraft:creeper, 80, 4, 4
66, none, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
67, none, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
68, none, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
69, none, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
70, none, minecraft:snowy_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
71, none, minecraft:snowy_plains, MONSTER, quark:stoneling, 80, 1, 1
72, none, minecraft:snowy_plains, MONSTER, quark:toretoise, 80, 2, 4
73, none, minecraft:snowy_plains, MONSTER, iceandfire:troll, 40, 1, 3
74, none, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
75, none, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
76, none, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 10, 3, 4
77, none, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 18, 3, 5
78, none, minecraft:snowy_plains, CREATURE, betteranimalsplus:reindeer, 10, 1, 4
79, none, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
80, none, minecraft:snowy_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
81, none, minecraft:snowy_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
82, none, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
83, none, minecraft:snowy_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
84, none, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
85, none, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
86, none, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
87, none, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
88, none, minecraft:ice_spikes, MONSTER, minecraft:creeper, 80, 4, 4
89, none, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
90, none, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
91, none, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
92, none, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
93, none, minecraft:ice_spikes, MONSTER, alexsmobs:centipede_head, 10, 1, 1
94, none, minecraft:ice_spikes, MONSTER, quark:stoneling, 80, 1, 1
95, none, minecraft:ice_spikes, MONSTER, quark:toretoise, 80, 2, 4
96, none, minecraft:ice_spikes, MONSTER, iceandfire:troll, 40, 1, 3
97, none, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
98, none, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
99, none, minecraft:ice_spikes, CREATURE, alexsmobs:froststalker, 20, 5, 7
100, none, minecraft:ice_spikes, CREATURE, alexsmobs:tusklin, 18, 3, 5
101, none, minecraft:ice_spikes, CREATURE, betteranimalsplus:reindeer, 10, 1, 4
102, none, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
103, none, minecraft:ice_spikes, AMBIENT, alexsmobs:fly, 10, 2, 3
104, none, minecraft:ice_spikes, AMBIENT, alexsmobs:cockroach, 10, 5, 5
105, none, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
106, none, minecraft:ice_spikes, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
107, none, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
108, none, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
109, none, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
110, none, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
111, none, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
112, none, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
113, none, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
114, none, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
115, none, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
116, none, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
117, none, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
118, none, minecraft:desert, MONSTER, quark:stoneling, 80, 1, 1
119, none, minecraft:desert, MONSTER, quark:toretoise, 80, 2, 4
120, none, minecraft:desert, MONSTER, betteranimalsplus:tarantula, 40, 1, 3
121, none, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
122, none, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
123, none, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
124, none, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
125, none, minecraft:desert, CREATURE, betteranimalsplus:coyote, 10, 1, 6
126, none, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
127, none, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
128, none, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
129, none, minecraft:desert, AMBIENT, alexsmobs:jerboa, 12, 1, 3
130, none, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
131, none, minecraft:desert, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
132, none, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
133, none, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
134, none, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
135, none, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
136, none, minecraft:swamp, MONSTER, minecraft:creeper, 80, 4, 4
137, none, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
138, none, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
139, none, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
140, none, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
141, none, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 10, 1, 1
142, none, minecraft:swamp, MONSTER, quark:stoneling, 80, 1, 1
143, none, minecraft:swamp, MONSTER, quark:toretoise, 80, 2, 4
144, none, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
145, none, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
146, none, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
147, none, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
148, none, minecraft:swamp, CREATURE, alexsmobs:crocodile, 40, 1, 2
149, none, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
150, none, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
151, none, minecraft:swamp, CREATURE, alexsmobs:anaconda, 12, 1, 1
152, none, minecraft:swamp, CREATURE, quark:frog, 40, 1, 3
153, none, minecraft:swamp, CREATURE, betteranimalsplus:crab, 10, 1, 3
154, none, minecraft:swamp, CREATURE, betteranimalsplus:moose, 10, 1, 1
155, none, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
156, none, minecraft:swamp, AMBIENT, alexsmobs:fly, 10, 2, 3
157, none, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 10, 5, 5
158, none, minecraft:swamp, AMBIENT, betteranimalsplus:dragonfly, 10, 1, 3
159, none, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
160, none, minecraft:swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
161, none, minecraft:swamp, WATER_AMBIENT, alexsmobs:catfish, 10, 1, 3
162, none, minecraft:swamp, WATER_AMBIENT, betteranimalsplus:lamprey, 10, 1, 3
163, none, minecraft:swamp, WATER_AMBIENT, betteranimalsplus:eel_freshwater, 10, 1, 3
164, none, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
165, none, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
166, none, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
167, none, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
168, none, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
169, none, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
170, none, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
171, none, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
172, none, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
173, none, minecraft:forest, MONSTER, quark:stoneling, 80, 1, 1
174, none, minecraft:forest, MONSTER, quark:toretoise, 80, 2, 4
175, none, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
176, none, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
177, none, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
178, none, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
179, none, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
180, none, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
181, none, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
182, none, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
183, none, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
184, none, minecraft:forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
185, none, minecraft:forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
186, none, minecraft:forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
187, none, minecraft:forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
188, none, minecraft:forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
189, none, minecraft:forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
190, none, minecraft:forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
191, none, minecraft:forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
192, none, minecraft:forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
193, none, minecraft:forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
194, none, minecraft:forest, CREATURE, betteranimalsplus:boar, 10, 1, 4
195, none, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
196, none, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
197, none, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
198, none, minecraft:forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
199, none, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
200, none, minecraft:forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
201, none, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
202, none, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
203, none, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
204, none, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
205, none, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
206, none, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
207, none, minecraft:flower_forest, MONSTER, minecraft:enderman, 5, 1, 4
208, none, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
209, none, minecraft:flower_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
210, none, minecraft:flower_forest, MONSTER, quark:stoneling, 80, 1, 1
211, none, minecraft:flower_forest, MONSTER, quark:toretoise, 80, 2, 4
212, none, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
213, none, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
214, none, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
215, none, minecraft:flower_forest, CREATURE, minecraft:cow, 10, 4, 4
216, none, minecraft:flower_forest, CREATURE, minecraft:rabbit, 10, 2, 3
217, none, minecraft:flower_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
218, none, minecraft:flower_forest, CREATURE, alexsmobs:hummingbird, 19, 7, 7
219, none, minecraft:flower_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
220, none, minecraft:flower_forest, CREATURE, alexsmobs:crow, 10, 3, 5
221, none, minecraft:flower_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
222, none, minecraft:flower_forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
223, none, minecraft:flower_forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
224, none, minecraft:flower_forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
225, none, minecraft:flower_forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
226, none, minecraft:flower_forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
227, none, minecraft:flower_forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
228, none, minecraft:flower_forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
229, none, minecraft:flower_forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
230, none, minecraft:flower_forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
231, none, minecraft:flower_forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
232, none, minecraft:flower_forest, CREATURE, betteranimalsplus:boar, 10, 1, 4
233, none, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
234, none, minecraft:flower_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
235, none, minecraft:flower_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
236, none, minecraft:flower_forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
237, none, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
238, none, minecraft:flower_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
239, none, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
240, none, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
241, none, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
242, none, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
243, none, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
244, none, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
245, none, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
246, none, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
247, none, minecraft:birch_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
248, none, minecraft:birch_forest, MONSTER, quark:stoneling, 80, 1, 1
249, none, minecraft:birch_forest, MONSTER, quark:toretoise, 80, 2, 4
250, none, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
251, none, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
252, none, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
253, none, minecraft:birch_forest, CREATURE, minecraft:cow, 10, 4, 4
254, none, minecraft:birch_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
255, none, minecraft:birch_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
256, none, minecraft:birch_forest, CREATURE, alexsmobs:crow, 10, 3, 5
257, none, minecraft:birch_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
258, none, minecraft:birch_forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
259, none, minecraft:birch_forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
260, none, minecraft:birch_forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
261, none, minecraft:birch_forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
262, none, minecraft:birch_forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
263, none, minecraft:birch_forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
264, none, minecraft:birch_forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
265, none, minecraft:birch_forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
266, none, minecraft:birch_forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
267, none, minecraft:birch_forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
268, none, minecraft:birch_forest, CREATURE, betteranimalsplus:boar, 10, 1, 4
269, none, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
270, none, minecraft:birch_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
271, none, minecraft:birch_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
272, none, minecraft:birch_forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
273, none, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
274, none, minecraft:birch_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
275, none, minecraft:dark_forest, MONSTER, minecraft:spider, 50, 4, 4
276, none, minecraft:dark_forest, MONSTER, minecraft:cave_spider, 50, 4, 4
277, none, minecraft:dark_forest, MONSTER, minecraft:zombie, 50, 4, 4
278, none, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
279, none, minecraft:dark_forest, MONSTER, minecraft:skeleton, 50, 4, 4
280, none, minecraft:dark_forest, MONSTER, minecraft:stray, 50, 4, 4
281, none, minecraft:dark_forest, MONSTER, minecraft:creeper, 20, 4, 4
282, none, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
283, none, minecraft:dark_forest, MONSTER, minecraft:enderman, 5, 1, 4
284, none, minecraft:dark_forest, MONSTER, minecraft:vex, 10, 2, 2
285, none, minecraft:dark_forest, MONSTER, minecraft:vindicator, 30, 1, 2
286, none, minecraft:dark_forest, MONSTER, minecraft:ravager, 10, 1, 1
287, none, minecraft:dark_forest, MONSTER, minecraft:witch, 5, 3, 4
288, none, minecraft:dark_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
289, none, minecraft:dark_forest, MONSTER, quark:stoneling, 80, 1, 1
290, none, minecraft:dark_forest, MONSTER, quark:toretoise, 80, 2, 4
291, none, minecraft:dark_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
292, none, minecraft:dark_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
293, none, minecraft:dark_forest, CREATURE, alexsmobs:crow, 10, 3, 5
294, none, minecraft:dark_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
295, none, minecraft:dark_forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
296, none, minecraft:dark_forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
297, none, minecraft:dark_forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
298, none, minecraft:dark_forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
299, none, minecraft:dark_forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
300, none, minecraft:dark_forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
301, none, minecraft:dark_forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
302, none, minecraft:dark_forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
303, none, minecraft:dark_forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
304, none, minecraft:dark_forest, CREATURE, betteranimalsplus:boar, 10, 1, 4
305, none, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
306, none, minecraft:dark_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
307, none, minecraft:dark_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
308, none, minecraft:dark_forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
309, none, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
310, none, minecraft:dark_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
311, none, minecraft:old_growth_birch_forest, MONSTER, minecraft:spider, 80, 4, 4
312, none, minecraft:old_growth_birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
313, none, minecraft:old_growth_birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
314, none, minecraft:old_growth_birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
315, none, minecraft:old_growth_birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
316, none, minecraft:old_growth_birch_forest, MONSTER, minecraft:slime, 80, 4, 4
317, none, minecraft:old_growth_birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
318, none, minecraft:old_growth_birch_forest, MONSTER, minecraft:witch, 5, 1, 1
319, none, minecraft:old_growth_birch_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
320, none, minecraft:old_growth_birch_forest, MONSTER, quark:stoneling, 80, 1, 1
321, none, minecraft:old_growth_birch_forest, MONSTER, quark:toretoise, 80, 2, 4
322, none, minecraft:old_growth_birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
323, none, minecraft:old_growth_birch_forest, CREATURE, minecraft:pig, 10, 4, 4
324, none, minecraft:old_growth_birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
325, none, minecraft:old_growth_birch_forest, CREATURE, minecraft:cow, 10, 4, 4
326, none, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
327, none, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
328, none, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:crow, 10, 3, 5
329, none, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
330, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
331, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
332, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
333, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
334, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
335, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
336, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
337, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
338, none, minecraft:old_growth_birch_forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
